current (A), dt (C), Qc (W)
6, 28.615384615384613, 0
6, 20.153846153846153, 19.9529547705514
6, 10, 43.83047210300441
6, 0, 66.63090128755368
12, 43.23076923076923, 0
12, 30.15384615384616, 35.242654341366915
12, 10, 89.96781115879836
12, 0, 116.52360515021468
18, 56.92307692307693, 0.7263123142952281
18, 42.61538461538461, 44.565037966325576
18, 15.230769230769226, 126.84466820732925
18, 0.1538461538461604, 171.77698910531535
24, 72.61538461538461, 0.3053813139650856
24, 46.61538461538462, 87.37619676460884
24, 23.6923076923077, 164.17134367778152
24, 0.3076923076923066, 240.97887091449329
30, 77.07692307692308, 0.18570485308691786
30, 56, 79.07725321888421
30, 21.6923076923077, 204.46104324859695
30, 0.1538461538461604, 283.90145262462863
